Altium Designer Pick and Place Locations
D:\WorkSpace\Altium\NANORACK\LASERDIODE V1.2.2\01_DESIGN\Project Outputs for NANORACK_LASER\Pick Place for LASERDIODE_V1.2.1.csv

========================================================================================================================
File Design Information:

Date:       02/07/25
Time:       10:51
Revision:   Not in VersionControl
Variant:    No variations
Units used: mm

"Designator","Comment","Layer","Footprint","Center-X(mm)","Center-Y(mm)","Rotation","Description"
"U9","ADG1414BRUZ","BottomLayer","TSSOP24","68.5265","59.4387","270","IC SW SPST-NOX8 11.5OHM 24TSSOP"
"U8","ADG1414BRUZ","BottomLayer","TSSOP24","68.5265","34.5440","270","IC SW SPST-NOX8 11.5OHM 24TSSOP"
"U7","ADG1414BRUZ","BottomLayer","TSSOP24","68.5265","42.8422","270","IC SW SPST-NOX8 11.5OHM 24TSSOP"
"U6","ADG1414BRUZ","BottomLayer","TSSOP24","68.5265","67.7369","270","IC SW SPST-NOX8 11.5OHM 24TSSOP"
"U5","ADG1414BRUZ","BottomLayer","TSSOP24","68.5265","51.1405","270","IC SW SPST-NOX8 11.5OHM 24TSSOP"
"U4","ADG1414BRUZ","BottomLayer","TSSOP24","68.5265","76.0352","270","IC SW SPST-NOX8 11.5OHM 24TSSOP"
"H9","HOLD","TopLayer","M3","46.5300","82.4000","0",""
"TP9","Test_Point","BottomLayer","TESTPOINT","61.0870","35.0520","90",""
"R1","4.7K 1%","BottomLayer","RES-SMD-0603","61.6320","32.3011","270","0603"
"J3","BYPASS/DNP","BottomLayer","BIG_CONNECTOR","75.1840","4.9290","270","DNP"
"H8","HOLD","TopLayer","M3","3.6000","25.6000","0",""
"H7","HOLD","TopLayer","M3","3.6000","36.4000","0",""
"H6","HOLD","TopLayer","M3","3.6000","81.4000","0",""
"H5","HOLD","TopLayer","M3","81.4000","81.4000","0",""
"H4","HOLD","TopLayer","M3","81.4000","36.4000","0",""
"H3","HOLD","TopLayer","M3","81.4000","25.6000","0",""
"H2","HOLD","TopLayer","M3","81.4000","3.6000","0",""
"H1","HOLD","TopLayer","M3","3.6000","3.6000","0",""
"U11","TPS5430DDAR","BottomLayer","HSOP8","63.1630","14.3510","0","8SOP"
"U3","OPA4340","BottomLayer","SSOP16","31.4960","15.9701","90","IC CMOS 4 CIRCUIT 16SSOP"
"U2","MCP4902-E/ST","BottomLayer","TSSOP14","47.7520","25.5270","180","IC DAC 8BIT V-OUT 14TSSOP"
"U1","TPS7A4533DCQR","BottomLayer","SOT223-6","44.7040","12.9540","90","IC REG LINEAR 3.3V 1.5A SOT223-6"
"TP19","Test_Point","BottomLayer","TESTPOINT","61.0870","38.6080","180",""
"TP18","Test_Point","BottomLayer","TESTPOINT","61.0870","63.4953","180",""
"TP17","Test_Point","BottomLayer","TESTPOINT","61.0870","46.9038","90",""
"TP16","Test_Point","BottomLayer","TESTPOINT","61.0870","71.7911","90",""
"TP15","Test_Point","BottomLayer","TESTPOINT","61.0870","55.1995","90",""
"TP14","Test_Point","BottomLayer","TESTPOINT","52.8320","75.1840","90",""
"TP13","Test_Point","BottomLayer","TESTPOINT","61.0870","75.1840","90",""
"TP12","Test_Point","BottomLayer","TESTPOINT","36.4490","24.2251","90",""
"TP11","Test_Point","BottomLayer","TESTPOINT","26.5430","2.8724","0",""
"TP6","Test_Point","BottomLayer","TESTPOINT","61.0870","78.8546","90",""
"TP5","Test_Point","BottomLayer","TESTPOINT","62.6110","24.0030","90",""
"TP4","Test_Point","BottomLayer","TESTPOINT","58.9280","24.0030","90",""
"TP3","Test_Point","BottomLayer","TESTPOINT","36.4490","26.7651","90",""
"TP2","Test_Point","BottomLayer","TESTPOINT","26.5430","25.8761","90",""
"TP1","Test_Point","BottomLayer","TESTPOINT","34.6710","7.9691","180",""
"R36","4.7K 1%","BottomLayer","RES-SMD-0603","63.3729","32.3011","270","0603"
"R27","3.24K 0.1%","BottomLayer","RES-SMD-0603","57.0231","15.5129","90","ERA-3AEB3241V"
"R26","10K 1%","BottomLayer","RES-SMD-0603","57.0229","11.1571","270","0603"
"R25","4.7K 1%","BottomLayer","RES-SMD-0603","45.7011","21.4631","180","0603"
"R24","4.7K 1%","BottomLayer","RES-SMD-0603","63.3729","36.7491","270","0603"
"R23","4.7K 1%","BottomLayer","RES-SMD-0603","63.3729","45.0473","270","0603"
"R22","4.7K 1%","BottomLayer","RES-SMD-0603","63.3729","53.3455","270","0603"
"R21","4.7K 1%","BottomLayer","RES-SMD-0603","63.3729","61.6438","270","0603"
"R20","4.7K 1%","BottomLayer","RES-SMD-0603","63.3729","69.9420","270","0603"
"R19","4.7K 1%","BottomLayer","RES-SMD-0603","63.3729","76.0163","270","0603"
"R18","4.7K 1%","BottomLayer","RES-SMD-0603","63.3729","40.5993","270","0603"
"R17","4.7K 1%","BottomLayer","RES-SMD-0603","63.3729","48.8975","270","0603"
"R16","4.7K 1%","BottomLayer","RES-SMD-0603","63.3729","57.1958","270","0603"
"R15","4.7K 1%","BottomLayer","RES-SMD-0603","63.3729","65.4940","270","0603"
"R14","250R 1%","BottomLayer","RES-SMD-1206","34.5559","29.3156","180","0603"
"R13","50R 1%","BottomLayer","RES-SMD-0603","36.4491","21.3229","90","0603"
"R12","1K 1%","BottomLayer","RES-SMD-0603","32.1500","21.8120","0","0603"
"R11","100R 1%","BottomLayer","RES-SMD-0603","26.5431","18.4019","90","0603"
"R10","50R 1%","BottomLayer","RES-SMD-0603","32.1122","23.9711","180","0603"
"R9","250R 1%","BottomLayer","RES-SMD-1206","34.5567","2.8598","180","1206"
"R8","50R 1%","BottomLayer","RES-SMD-0603","26.5430","14.0462","270","0603"
"R7","1K 1%","BottomLayer","RES-SMD-0603","31.9209","10.3821","180","0603"
"R6","100R 1%","BottomLayer","RES-SMD-0603","36.4498","5.9182","270","0603"
"R5","50R 1%","BottomLayer","RES-SMD-0603","31.9209","7.9691","180","0603"
"R4","4.7K 1%","BottomLayer","RES-SMD-0603","49.8921","19.1771","180","0603"
"R2","4.7K 1%","BottomLayer","RES-SMD-0603","49.8921","21.4631","180","0603"
"Q2","AO3400","BottomLayer","SOT23-132","27.7930","28.8936","90",""
"Q1","AO3400","BottomLayer","SOT23-132","27.6846","6.0641","270",""
"LD36","LaserDiode","TopLayer","LASER_SOCKET","10.1400","35.5000","0",""
"LD35","LaserDiode","TopLayer","LASER_SOCKET","19.4740","35.5000","0",""
"LD34","LaserDiode","TopLayer","LASER_SOCKET","28.8080","35.5000","0",""
"LD33","LaserDiode","TopLayer","LASER_SOCKET","38.1420","35.5000","0",""
"LD32","LaserDiode","TopLayer","LASER_SOCKET","47.4760","35.5000","0",""
"LD31","LaserDiode","TopLayer","LASER_SOCKET","56.8100","35.5000","0",""
"LD30","LaserDiode","TopLayer","LASER_SOCKET","10.1400","42.7000","0",""
"LD29","LaserDiode","TopLayer","LASER_SOCKET","19.4740","42.7000","0",""
"LD28","LaserDiode","TopLayer","LASER_SOCKET","28.8080","42.7000","0",""
"LD27","LaserDiode","TopLayer","LASER_SOCKET","38.1420","42.7000","0",""
"LD26","LaserDiode","TopLayer","LASER_SOCKET","47.4760","42.7000","0",""
"LD25","LaserDiode","TopLayer","LASER_SOCKET","56.8100","42.7000","0",""
"LD24","LaserDiode","TopLayer","LASER_SOCKET","10.1400","49.9000","0",""
"LD23","LaserDiode","TopLayer","LASER_SOCKET","19.4740","49.9000","0",""
"LD22","LaserDiode","TopLayer","LASER_SOCKET","28.8080","49.9000","0",""
"LD21","LaserDiode","TopLayer","LASER_SOCKET","38.1420","49.9000","0",""
"LD20","LaserDiode","TopLayer","LASER_SOCKET","47.4760","49.9000","0",""
"LD19","LaserDiode","TopLayer","LASER_SOCKET","56.8100","49.9000","0",""
"LD18","LaserDiode","TopLayer","LASER_SOCKET","10.1400","57.1000","0",""
"LD17","LaserDiode","TopLayer","LASER_SOCKET","19.4740","57.1000","0",""
"LD16","LaserDiode","TopLayer","LASER_SOCKET","28.8080","57.1000","0",""
"LD15","LaserDiode","TopLayer","LASER_SOCKET","38.1420","57.1000","0",""
"LD14","LaserDiode","TopLayer","LASER_SOCKET","47.4760","57.1000","0",""
"LD13","LaserDiode","TopLayer","LASER_SOCKET","56.8100","57.1000","0",""
"LD12","LaserDiode","TopLayer","LASER_SOCKET","10.1400","64.3000","0",""
"LD11","LaserDiode","TopLayer","LASER_SOCKET","19.4740","64.3000","0",""
"LD10","LaserDiode","TopLayer","LASER_SOCKET","28.8080","64.3000","0",""
"LD9","LaserDiode","TopLayer","LASER_SOCKET","38.1420","64.3000","0",""
"LD8","LaserDiode","TopLayer","LASER_SOCKET","47.4760","64.3000","0",""
"LD7","LaserDiode","TopLayer","LASER_SOCKET","56.8100","64.3000","0",""
"LD6","LaserDiode","TopLayer","LASER_SOCKET","10.1400","71.5000","0",""
"LD5","LaserDiode","TopLayer","LASER_SOCKET","19.4740","71.5000","0",""
"LD4","LaserDiode","TopLayer","LASER_SOCKET","28.8080","71.5000","0",""
